timestamp,interest,activeInterest,relaxation,activeRelaxation,engagement,activeEngagement,excitement,activeExcitement,stress,activeStress
1740095389.8966,0.56366,true,0.117939,true,0.244936,true,0.534866,true,0.234621,true
1740095390.4009,0.563282,true,0.118141,true,0.232938,true,0.520519,true,0.242508,true
1740095390.906,0.563151,true,0.113723,true,0.233106,true,0.51582,true,0.242588,true
1740095391.4105,0.563166,true,0.10473,true,0.278665,true,0.51167,true,0.231516,true
1740095391.915,0.562531,true,0.096859,true,0.288713,true,0.491734,true,0.218655,true
1740095392.4193,0.562778,true,0.097096,true,0.296979,true,0.473926,true,0.218771,true
1740095392.9237,0.564007,true,0.105282,true,0.303401,true,0.452518,true,0.223677,true
1740095393.4278,0.564907,true,0.110192,true,0.305674,true,0.436278,true,0.242725,true
1740095393.9323,0.565403,true,0.124404,true,0.305763,true,0.423947,true,0.281484,true
1740095394.4361,0.565489,true,0.168598,true,0.284664,true,0.412836,true,0.325269,true
1740095394.9398,0.56568,true,0.168726,true,0.281687,true,0.390247,true,0.325285,true
1740095395.4431,0.565784,true,0.164093,true,0.27102,true,0.382683,true,0.289896,true
1740095395.9491,0.566493,true,0.14518,true,0.24415,true,0.381346,true,0.268736,true
1740095396.4538,0.573352,true,0.145339,true,0.206931,true,0.382681,true,0.262384,true
1740095396.9573,0.588595,true,0.147684,true,0.203738,true,0.388295,true,0.262441,true
1740095397.4623,0.610673,true,0.155344,true,0.176576,true,0.409829,true,0.268825,true
1740095397.9662,0.63724,true,0.155489,true,0.10769,true,0.440167,true,0.268876,true
1740095398.4695,0.665438,true,0.145898,true,0.07112,true,0.481364,true,0.262166,true
1740095398.9743,0.690857,true,0.127019,true,0.055513,true,0.513386,true,0.262223,true
1740095399.4784,0.705324,true,0.125934,true,0.055993,true,0.530851,true,0.265472,true
1740095399.9827,0.661394,true,0.117114,true,0.063064,true,0.533021,true,0.265526,true
1740095400.4873,0.656755,true,0.098571,true,0.088667,true,0.540919,true,0.254822,true
1740095400.9912,0.643836,true,0.082458,true,0.089094,true,0.554216,true,0.227539,true
1740095401.4961,0.644957,true,0.082719,true,0.049022,true,0.573051,true,0.212406,true
1740095402.0014,0.655819,true,0.081375,true,0.049507,true,0.582242,true,0.201971,true
1740095402.5046,0.664562,true,0.081637,true,0.06116,true,0.582155,true,0.202029,true
1740095403.0096,0.662047,true,0.081899,true,0.061632,true,0.575433,true,0.202175,true
1740095403.5127,0.64846,true,0.098719,true,0.068457,true,0.558487,true,0.211276,true
1740095404.0172,0.633147,true,0.09895,true,0.074265,true,0.537813,true,0.211404,true
1740095404.5224,0.619048,true,0.09464,true,0.084324,true,0.515551,true,0.207919,true
1740095405.0257,0.604409,true,0.070898,true,0.097628,true,0.515504,true,0.186088,true
1740095405.5306,0.59184,true,0.05738,true,0.123525,true,0.52862,true,0.169148,true
1740095406.0352,0.582933,true,0.057531,true,0.176183,true,0.547779,true,0.169374,true
1740095406.5405,0.534889,true,0.057833,true,0.217615,true,0.553955,true,0.171466,true
1740095407.045,0.50099,true,0.060395,true,0.230733,true,0.556512,true,0.174117,true
1740095407.5499,0.521307,true,0.069991,true,0.256815,true,0.556442,true,0.179937,true
1740095408.0538,0.535875,true,0.086864,true,0.280417,true,0.552182,true,0.196196,true
1740095408.5565,0.546075,true,0.091476,true,0.309379,true,0.536469,true,0.197516,true
1740095409.06,0.553208,true,0.095981,true,0.345098,true,0.518779,true,0.210014,true
1740095409.5659,0.557267,true,0.099568,true,0.366865,true,0.50656,true,0.217613,true
1740095410.0695,0.559099,true,0.107566,true,0.366911,true,0.49365,true,0.220404,true
1740095410.574,0.559578,true,0.127472,true,0.369571,true,0.472094,true,0.227272,true
1740095411.0779,0.518382,true,0.130363,true,0.404535,true,0.455758,true,0.233101,true
1740095411.5822,0.528729,true,0.134112,true,0.404563,true,0.435468,true,0.237114,true
1740095412.0864,0.531398,true,0.152264,true,0.322408,true,0.421667,true,0.2372,true
1740095412.5911,0.52601,true,0.170105,true,0.322482,true,0.405732,true,0.245493,true
1740095413.0954,0.515523,true,0.170229,true,0.322759,true,0.400179,true,0.247233,true
1740095413.6003,0.504139,true,0.164401,true,0.322832,true,0.388308,true,0.253208,true
1740095414.1051,0.492755,true,0.139257,true,0.309529,true,0.385925,true,0.269536,true
1740095414.61,0.482162,true,0.139421,true,0.285735,true,0.385923,true,0.270757,true
1740095415.1138,0.472831,true,0.147927,true,0.277159,true,0.390904,true,0.281519,true
1740095415.6162,0.465523,true,0.162342,true,0.278862,true,0.404887,true,0.293933,true
1740095416.1216,0.460321,true,0.181022,true,0.278973,true,0.409853,true,0.315409,true
1740095416.6255,0.456541,true,0.181134,true,0.366737,true,0.42132,true,0.315428,true
1740095417.1297,0.443349,true,0.176134,true,0.366782,true,0.439414,true,0.295312,true
1740095417.6349,0.445057,true,0.163036,true,0.331891,true,0.443535,true,0.295342,true
1740095418.1391,0.445474,true,0.163168,true,0.331958,true,0.449017,true,0.296981,true
1740095418.6434,0.445052,true,0.17821,true,0.334916,true,0.460717,true,0.339003,true
1740095419.1478,0.444595,true,0.201458,true,0.342106,true,0.46958,true,0.379894,true
1740095419.6519,0.435558,true,0.222029,true,0.342166,true,0.469553,true,0.390268,true
1740095420.1559,0.441843,true,0.262395,true,0.283217,true,0.46422,true,0.416765,true
1740095420.66,0.44762,true,0.281937,true,0.256227,true,0.455605,true,0.445167,true
1740095421.1647,0.451554,true,0.284743,true,0.23405,true,0.437673,true,0.449168,true
1740095421.6694,0.452986,true,0.290306,true,0.234212,true,0.425822,true,0.455397,true
1740095422.1732,0.452398,true,0.360195,true,0.259457,true,0.419344,true,0.499948,true
1740095422.6777,0.4422,true,0.384636,true,0.259587,true,0.412744,true,0.503945,true
1740095423.1822,0.444263,true,0.398187,true,0.248759,true,0.392598,true,0.503879,true
1740095423.6864,0.445436,true,0.413123,true,0.198385,true,0.375053,true,0.552116,true
1740095424.1917,0.43645,true,0.436394,true,0.191319,true,0.362039,true,0.57975,true
1740095424.6965,0.440765,true,0.479783,true,0.1718,true,0.346397,true,0.601157,true
1740095425.1995,0.444162,true,0.479758,true,0.172056,true,0.329694,true,0.607951,true
1740095425.7044,0.446006,true,0.433917,true,0.184953,true,0.311643,true,0.607698,true
1740095426.2089,0.446715,true,0.318093,true,0.189366,true,0.297209,true,0.526332,true
1740095426.7139,0.437791,true,0.270686,true,0.189592,true,0.287398,true,0.457286,true
1740095427.2173,0.438608,true,0.246236,true,0.233431,true,0.27667,true,0.427929,true
1740095427.7212,0.438409,true,0.216143,true,0.265698,true,0.26513,true,0.406601,true
1740095428.2264,0.439094,true,0.20458,true,0.313102,true,0.25557,true,0.394662,true
1740095428.7313,0.441199,true,0.199148,true,0.350154,true,0.245152,true,0.367954,true
1740095429.234,0.443524,true,0.193972,true,0.396434,true,0.234496,true,0.360142,true
1740095429.7397,0.435745,true,0.194069,true,0.396466,true,0.234426,true,0.360146,true
1740095430.243,0.438242,true,0.226339,true,0.374359,true,0.234586,true,0.399343,true
1740095430.7479,0.43976,true,0.245274,true,0.3744,true,0.239042,true,0.424267,true
1740095431.2518,0.441269,true,0.269203,true,0.376784,true,0.247592,true,0.44059,true
1740095431.7576,0.442631,true,0.269245,true,0.381521,true,0.25737,true,0.44057,true
1740095432.262,0.443026,true,0.258156,true,0.381559,true,0.265888,true,0.446279,true
1740095432.7665,0.442371,true,0.258204,true,0.440636,true,0.272632,true,0.446311,true
1740095433.2699,0.441447,true,0.294778,true,0.452423,true,0.277923,true,0.446287,true
1740095433.7755,0.440784,true,0.317959,true,0.46377,true,0.286438,true,0.445676,true
1740095434.2798,0.440484,true,0.331523,true,0.452442,true,0.308624,true,0.445303,true
1740095434.7843,0.440268,true,0.331541,true,0.394718,true,0.332099,true,0.433609,true
1740095435.2885,0.440257,true,0.322635,true,0.312033,true,0.35602,true,0.423628,true
1740095435.7925,0.441002,true,0.315896,true,0.2881,true,0.37386,true,0.423615,true
1740095436.2988,0.433347,true,0.315918,true,0.268045,true,0.416037,true,0.433136,true
1740095436.803,0.437563,true,0.368267,true,0.224614,true,0.442618,true,0.479046,true
1740095437.3059,0.440391,true,0.373337,true,0.222011,true,0.466393,true,0.491998,true
1740095437.8104,0.441711,true,0.373343,true,0.215287,true,0.483886,true,0.491944,true
1740095438.3136,0.442295,true,0.33575,true,0.215471,true,0.487269,true,0.48369,true
1740095438.8179,0.443407,true,0.335766,true,0.220527,true,0.491239,true,0.480109,true
1740095439.3216,0.446109,true,0.335782,true,0.233491,true,0.503767,true,0.479748,true
1740095439.8268,0.449272,true,0.26398,true,0.26003,true,0.50931,true,0.405234,true
1740095440.3319,0.450838,true,0.244723,true,0.323792,true,0.511489,true,0.389698,true
1740095440.8357,0.440754,true,0.235288,true,0.34073,true,0.510765,true,0.389072,true
1740095441.3397,0.440655,true,0.234957,true,0.359905,true,0.510722,true,0.379599,true
1740095441.8444,0.43971,true,0.194633,true,0.381074,true,0.509713,true,0.338464,true
1740095442.3484,0.439006,true,0.185506,true,0.452637,true,0.50815,true,0.330137,true
1740095442.8519,0.438576,true,0.18561,true,0.453203,true,0.498633,true,0.330151,true
1740095443.3568,0.438577,true,0.21144,true,0.469969,true,0.479939,true,0.343251,true
1740095443.8615,0.438823,true,0.21152,true,0.474436,true,0.459433,true,0.34326,true
1740095444.3676,0.43855,true,0.191012,true,0.474442,true,0.439812,true,0.343269,true
1740095444.871,0.43751,true,0.18481,true,0.462012,true,0.439795,true,0.354263,true
1740095445.3758,0.436055,true,0.1813,true,0.445515,true,0.456194,true,0.369458,true
1740095445.8799,0.434876,true,0.176817,true,0.439941,true,0.49433,true,0.36946,true
1740095446.3852,0.434264,true,0.165099,true,0.387323,true,0.524121,true,0.339018,true
1740095446.8894,0.434198,true,0.165225,true,0.356323,true,0.560589,true,0.322509,true
1740095447.3927,0.434589,true,0.166175,true,0.337679,true,0.600898,true,0.322525,true
1740095447.8964,0.435377,true,0.188577,true,0.289797,true,0.640226,true,0.325909,true
1740095448.4014,0.436428,true,0.199675,true,0.289895,true,0.673234,true,0.330276,true
1740095448.9055,0.43738,true,0.212302,true,0.308854,true,0.697957,true,0.347358,true
1740095449.4107,0.437971,true,0.213764,true,0.323308,true,0.707989,true,0.347366,true
1740095449.9166,0.438083,true,0.213841,true,0.323379,true,0.707785,true,0.324972,true
1740095450.4211,0.430567,true,0.210913,true,0.304596,true,0.70536,true,0.323684,true
1740095450.9248,0.432262,true,0.210993,true,0.292526,true,0.688104,true,0.323699,true
1740095451.4277,0.42726,true,0.215282,true,0.286715,true,0.668913,true,0.327034,true
1740095451.9308,0.431801,true,0.240893,true,0.286814,true,0.635316,true,0.355993,true
1740095452.436,0.435652,true,0.240951,true,0.284608,true,0.598284,true,0.355999,true
1740095452.938,0.438088,true,0.189591,true,0.270992,true,0.560696,true,0.31573,true
1740095453.4425,0.438948,true,0.136838,true,0.233966,true,0.521508,true,0.274782,true
1740095453.9477,0.43855,true,0.136999,true,0.234123,true,0.477669,true,0.274825,true
1740095454.4506,0.437656,true,0.155242,true,0.289835,true,0.440715,true,0.307573,true
1740095454.9552,0.437002,true,0.193386,true,0.298571,true,0.413851,true,0.331746,true
1740095455.4594,0.432097,true,0.226771,true,0.328158,true,0.395527,true,0.360099,true
1740095455.9637,0.434303,true,0.237933,true,0.328225,true,0.369325,true,0.384053,true
1740095456.4682,0.43594,true,0.237992,true,0.349976,true,0.344191,true,0.385381,true
1740095456.9729,0.436291,true,0.235125,true,0.366576,true,0.321908,true,0.385379,true
1740095457.4772,0.43549,true,0.200197,true,0.36662,true,0.303045,true,0.352098,true
1740095457.9811,0.434386,true,0.166838,true,0.331108,true,0.286595,true,0.321128,true
1740095458.4863,0.433298,true,0.157136,true,0.325643,true,0.2707,true,0.312205,true
1740095458.9907,0.432325,true,0.15727,true,0.325711,true,0.260009,true,0.312225,true
1740095459.4946,0.431843,true,0.168957,true,0.34303,true,0.260042,true,0.318452,true
1740095459.9986,0.431604,true,0.184575,true,0.347718,true,0.270258,true,0.32915,true
1740095460.5032,0.431212,true,0.206608,true,0.347772,true,0.288817,true,0.366804,true
1740095461.0072,0.430725,true,0.216614,true,0.347827,true,0.298076,true,0.381448,true
1740095461.5127,0.430475,true,0.216689,true,0.366832,true,0.310643,true,0.381447,true
1740095462.0172,0.430511,true,0.2148,true,0.410222,true,0.326867,true,0.371153,true
1740095462.5206,0.431661,true,0.214876,true,0.410247,true,0.333276,true,0.351127,true
1740095463.0249,0.428213,true,0.233275,true,0.402234,true,0.333287,true,0.351133,true
1740095463.529,0.432518,true,0.266965,true,0.348469,true,0.322799,true,0.36693,true
1740095464.0331,0.434943,true,0.291242,true,0.311165,true,0.322813,true,0.382287,true
1740095464.5382,0.43532,true,0.291273,true,0.300915,true,0.323812,true,0.397542,true
1740095465.0409,0.435105,true,0.277629,true,0.301002,true,0.326822,true,0.398666,true
1740095465.546,0.43536,true,0.256899,true,0.287301,true,0.334469,true,0.397531,true
1740095466.0512,0.435695,true,0.256946,true,0.265968,true,0.339634,true,0.399914,true
1740095466.5551,0.435722,true,0.256994,true,0.266086,true,0.339643,true,0.403569,true
1740095467.0591,0.435603,true,0.236695,true,0.269072,true,0.335984,true,0.403562,true
1740095467.5644,0.436196,true,0.206647,true,0.269188,true,0.335994,true,0.390732,true
1740095468.0685,0.437728,true,0.205463,true,0.252981,true,0.337247,true,0.376607,true
1740095468.5737,0.439003,true,0.205546,true,0.253113,true,0.373313,true,0.376607,true
1740095469.0784,0.438922,true,0.221559,true,0.325663,true,0.412775,true,0.391937,true
1740095469.5821,0.437763,true,0.23283,true,0.395681,true,0.460658,true,0.406108,true
1740095470.0863,0.436629,true,0.232892,true,0.419693,true,0.501936,true,0.406101,true
1740095470.5904,0.436054,true,0.220384,true,0.450292,true,0.556234,true,0.393021,true
1740095471.0957,0.436445,true,0.208269,true,0.488059,true,0.598043,true,0.362796,true
1740095471.6001,0.437639,true,0.20835,true,0.489933,true,0.62334,true,0.3628,true
1740095472.1054,0.4387,true,0.222733,true,0.488064,true,0.628735,true,0.385698,true
1740095472.6092,0.439058,true,0.239955,true,0.471483,true,0.63138,true,0.404353,true
1740095473.1129,0.43853,true,0.250961,true,0.415281,true,0.63126,true,0.404346,true
1740095473.6182,0.437587,true,0.251011,true,0.415304,true,0.627854,true,0.390539,true
1740095474.1233,0.437304,true,0.247972,true,0.432188,true,0.626445,true,0.382584,true
1740095474.6271,0.437947,true,0.228809,true,0.435338,true,0.614947,true,0.358266,true
1740095475.1314,0.439243,true,0.20337,true,0.481563,true,0.595297,true,0.35118,true
1740095475.6351,0.440597,true,0.203455,true,0.482486,true,0.578411,true,0.351187,true
1740095476.1406,0.441596,true,0.211792,true,0.482491,true,0.56273,true,0.351194,true
1740095476.6435,0.44217,true,0.211869,true,0.429968,true,0.556868,true,0.340324,true
1740095477.1482,0.435279,true,0.193829,true,0.328203,true,0.55295,true,0.303812,true
1740095477.6531,0.436521,true,0.182763,true,0.328269,true,0.549395,true,0.28369,true
